locus_tag	name	chrom	start0	end0	strand	syn3A_locus_tag	syn3A_name	syn3A_start0	syn3A_end0	syn1_upstream_locus	syn1_upstream_dist	syn1_downstream_locus	syn1_downstream_dist	syn3A_upstream_locus	syn3A_upstream_dist	syn3A_downstream_locus	syn3A_downstream_dist	syn1_cw_neighbor	syn1_cw_dist	syn1_cw_strand	syn1_ccw_neighbor	syn1_ccw_dist	syn1_ccw_strand	syn3A_cw_neighbor	syn3A_cw_dist	syn3A_cw_strand	syn3A_ccw_neighbor	syn3A_ccw_dist	syn3A_ccw_strand	unaltered_ccw_bps	unaltered_cw_bps	cw_context_changed	ccw_context_changed	gene_impact_class
MMSYN1_0294	rpsO	CP002027.1	375966	376233	+	JCVISYN3A_0294	rpsO	176396.0	176663.0	MMSYN1_0291	4275	MMSYN1_0295	59	JCVISYN3A_0291	234	JCVISYN3A_0295	59	MMSYN1_0295	59	+	MMSYN1_0293	212	-	JCVISYN3A_0295	59	+	JCVISYN3A_0291	234	+	212	13272	False	True	new_promoter_fusion
MMSYN1_0295		CP002027.1	376292	376366	+	JCVISYN3A_0295	tRNA-Gly	176722.0	176796.0	MMSYN1_0294	59	MMSYN1_0296	97	JCVISYN3A_0294	59	JCVISYN3A_0296	97	MMSYN1_0296	97	+	MMSYN1_0294	59	+	JCVISYN3A_0296	97	+	JCVISYN3A_0294	59	+	538	13139	False	False	new_promoter_fusion
MMSYN1_0296		CP002027.1	376463	377108	+	JCVISYN3A_0296	JCVISYN3A_0296	176893.0	177538.0	MMSYN1_0295	97	MMSYN1_0307	13449	JCVISYN3A_0295	97	JCVISYN3A_0308	12688	MMSYN1_0297	18	-	MMSYN1_0295	97	+	JCVISYN3A_0297	18	-	JCVISYN3A_0295	97	+	709	12397	False	False	unaffected
MMSYN1_0297	infB	CP002027.1	377126	378989	-	JCVISYN3A_0297	infB	177556.0	179419.0	MMSYN1_0298	21	MMSYN1_0293	1372	JCVISYN3A_0298	21	JCVISYN3A_0288	3401	MMSYN1_0298	21	-	MMSYN1_0296	18	+	JCVISYN3A_0298	21	-	JCVISYN3A_0296	18	+	1372	10516	False	False	unaffected
MMSYN1_0298		CP002027.1	379010	379310	-	JCVISYN3A_0298	JCVISYN3A_0298	179440.0	179740.0	MMSYN1_0299	-14	MMSYN1_0297	21	JCVISYN3A_0299	-14	JCVISYN3A_0297	21	MMSYN1_0299	-14	-	MMSYN1_0297	21	-	JCVISYN3A_0299	-14	-	JCVISYN3A_0297	21	-	3256	10195	False	False	unaffected
MMSYN1_0299		CP002027.1	379296	379578	-	JCVISYN3A_0299	JCVISYN3A_0299	179726.0	180008.0	MMSYN1_0300	-20	MMSYN1_0298	-14	JCVISYN3A_0300	-20	JCVISYN3A_0298	-14	MMSYN1_0300	-20	-	MMSYN1_0298	-14	-	JCVISYN3A_0300	-20	-	JCVISYN3A_0298	-14	-	3542	9927	False	False	unaffected
MMSYN1_0300	nusA	CP002027.1	379558	381313	-	JCVISYN3A_0300	nusA	179988.0	181743.0	MMSYN1_0301	8	MMSYN1_0299	-20	JCVISYN3A_0301	8	JCVISYN3A_0299	-20	MMSYN1_0301	8	-	MMSYN1_0299	-20	-	JCVISYN3A_0301	8	-	JCVISYN3A_0299	-20	-	3804	8192	False	False	unaffected
MMSYN1_0301		CP002027.1	381321	381816	-	JCVISYN3A_0301	rimP	181751.0	182246.0	MMSYN1_0302	112	MMSYN1_0300	8	JCVISYN3A_0302	112	JCVISYN3A_0300	8	MMSYN1_0302	112	-	MMSYN1_0300	8	-	JCVISYN3A_0302	112	-	JCVISYN3A_0300	8	-	5567	7689	False	False	unaffected
MMSYN1_0302		CP002027.1	381928	382579	-	JCVISYN3A_0302	fre	182358.0	183009.0	MMSYN1_0303	12	MMSYN1_0301	112	JCVISYN3A_0303	12	JCVISYN3A_0301	112	MMSYN1_0303	12	-	MMSYN1_0301	112	-	JCVISYN3A_0303	12	-	JCVISYN3A_0301	112	-	6174	6926	False	False	unaffected
MMSYN1_0303	polC	CP002027.1	382591	387040	-	JCVISYN3A_0303	polC	183021.0	187470.0	MMSYN1_0304	8	MMSYN1_0302	12	JCVISYN3A_0304	8	JCVISYN3A_0302	12	MMSYN1_0304	8	-	MMSYN1_0302	12	-	JCVISYN3A_0304	8	-	JCVISYN3A_0302	12	-	6837	2465	False	False	unaffected
MMSYN1_0304	cdsA	CP002027.1	387048	388077	-	JCVISYN3A_0304	cdsA	187478.0	188507.0	MMSYN1_0305	198	MMSYN1_0303	8	JCVISYN3A_0305	198	JCVISYN3A_0303	8	MMSYN1_0305	198	-	MMSYN1_0303	8	-	JCVISYN3A_0305	198	-	JCVISYN3A_0303	8	-	11294	1428	False	False	unaffected
MMSYN1_0305		CP002027.1	388275	389352	-	JCVISYN3A_0305	JCVISYN3A_0305	188705.0	189782.0	MMSYN1_0306	153	MMSYN1_0304	198	JCVISYN3A_0344	14291	JCVISYN3A_0304	198	MMSYN1_0306	153	-	MMSYN1_0304	198	-	JCVISYN3A_0308	444	+	JCVISYN3A_0304	198	-	12521	153	True	False	promoter_lost
MMSYN1_0308	trpS	CP002027.1	391002	392013	+	JCVISYN3A_0308	trpRS	190226.0	191237.0	MMSYN1_0307	91	MMSYN1_0310	1010	JCVISYN3A_0296	12688	JCVISYN3A_0314	135	MMSYN1_0309	28	-	MMSYN1_0307	91	+	JCVISYN3A_0314	135	+	JCVISYN3A_0305	444	-	93	31	True	True	promoter_lost
MMSYN1_0314		CP002027.1	399626	400361	+	JCVISYN3A_0314	ecfS	191372.0	192107.0	MMSYN1_0313	104	MMSYN1_0315	121	JCVISYN3A_0308	135	JCVISYN3A_0315	121	MMSYN1_0315	121	+	MMSYN1_0313	104	+	JCVISYN3A_0315	121	+	JCVISYN3A_0308	135	+	105	2631	False	True	unaffected
MMSYN1_0315		CP002027.1	400482	400635	+	JCVISYN3A_0315	JCVISYN3A_0315	192228.0	192381.0	MMSYN1_0314	121	MMSYN1_0316	58	JCVISYN3A_0314	121	JCVISYN3A_0316	58	MMSYN1_0316	58	+	MMSYN1_0314	121	+	JCVISYN3A_0316	58	+	JCVISYN3A_0314	121	+	961	2357	False	False	unaffected
MMSYN1_0316	tkt	CP002027.1	400693	402664	+	JCVISYN3A_0316	tkt	192439.0	194410.0	MMSYN1_0315	58	MMSYN1_0317	15	JCVISYN3A_0315	58	JCVISYN3A_0317	15	MMSYN1_0317	15	+	MMSYN1_0315	58	+	JCVISYN3A_0317	15	+	JCVISYN3A_0315	58	+	1172	328	False	False	unaffected
MMSYN1_0317		CP002027.1	402679	402925	+	JCVISYN3A_0317	JCVISYN3A_0317	194425.0	194671.0	MMSYN1_0316	15	MMSYN1_0318	67	JCVISYN3A_0316	15	JCVISYN3A_0325	1422	MMSYN1_0318	67	+	MMSYN1_0316	15	+	JCVISYN3A_0325	1422	+	JCVISYN3A_0316	15	+	3158	67	True	False	unaffected
MMSYN1_0325		CP002027.1	414260	415751	+	JCVISYN3A_0325	JCVISYN3A_0325	196093.0	197593.0	MMSYN1_0322	3568	MMSYN1_0326	17	JCVISYN3A_0317	1422	JCVISYN3A_0326	17	MMSYN1_0326	17	+	MMSYN1_0324	1364	-	JCVISYN3A_0326	17	+	JCVISYN3A_0317	1422	+	1366	3703	False	True	unaffected
MMSYN1_0326		CP002027.1	415768	416530	+	JCVISYN3A_0326	JCVISYN3A_0326	197610.0	198372.0	MMSYN1_0325	17	MMSYN1_0327	9	JCVISYN3A_0325	17	JCVISYN3A_0327	9	MMSYN1_0327	9	+	MMSYN1_0325	17	+	JCVISYN3A_0327	9	+	JCVISYN3A_0325	17	+	2874	2924	False	False	context_only
MMSYN1_0327	scpA	CP002027.1	416539	417376	+	JCVISYN3A_0327	scpA	198381.0	199218.0	MMSYN1_0326	9	MMSYN1_0328	-17	JCVISYN3A_0326	9	JCVISYN3A_0328	-17	MMSYN1_0328	-17	+	MMSYN1_0326	9	+	JCVISYN3A_0328	-17	+	JCVISYN3A_0326	9	+	3645	2078	False	False	context_only
MMSYN1_0328	scpB	CP002027.1	417359	417989	+	JCVISYN3A_0328	scpB	199201.0	199831.0	MMSYN1_0327	-17	MMSYN1_0329	67	JCVISYN3A_0327	-17	JCVISYN3A_0329	67	MMSYN1_0329	67	+	MMSYN1_0327	-17	+	JCVISYN3A_0329	67	+	JCVISYN3A_0327	-17	+	4465	1465	False	False	context_only
MMSYN1_0329		CP002027.1	418056	418815	+	JCVISYN3A_0329	rluB	199898.0	200657.0	MMSYN1_0328	67	MMSYN1_0330	9	JCVISYN3A_0328	67	JCVISYN3A_0330	9	MMSYN1_0330	9	+	MMSYN1_0328	67	+	JCVISYN3A_0330	9	+	JCVISYN3A_0328	67	+	5162	639	False	False	context_only
MMSYN1_0330		CP002027.1	418824	419442	+	JCVISYN3A_0330	dgk	200666.0	201284.0	MMSYN1_0329	9	MMSYN1_0331	11	JCVISYN3A_0329	9	JCVISYN3A_0332	110	MMSYN1_0331	11	+	MMSYN1_0329	9	+	JCVISYN3A_0332	110	+	JCVISYN3A_0329	9	+	5930	12	True	False	context_only
MMSYN1_0332		CP002027.1	420266	421094	+	JCVISYN3A_0332	JCVISYN3A_0332	201394.0	202222.0	MMSYN1_0331	99	MMSYN1_0333	491	JCVISYN3A_0330	110	JCVISYN3A_0338	674	MMSYN1_0333	491	+	MMSYN1_0331	99	+	JCVISYN3A_0338	674	+	JCVISYN3A_0330	110	+	99	491	True	True	readthrough_exposed
MMSYN1_0338		CP002027.1	426378	427098	+	JCVISYN3A_0338	JCVISYN3A_0338	202896.0	203616.0	MMSYN1_0337	170	MMSYN1_0339	402	JCVISYN3A_0332	674	JCVISYN3A_0345	1156	MMSYN1_0339	402	+	MMSYN1_0337	170	+	JCVISYN3A_0344	457	-	JCVISYN3A_0332	674	+	170	410	True	True	promoter_lost
MMSYN1_0344	ppa	CP002027.1	435755	436316	-	JCVISYN3A_0344	ppa	204073.0	204634.0	MMSYN1_0351	5635	MMSYN1_0324	22859	JCVISYN3A_0398	33125	JCVISYN3A_0305	14291	MMSYN1_0345	138	+	MMSYN1_0343	55	+	JCVISYN3A_0345	138	+	JCVISYN3A_0338	457	+	55	3776	False	True	unaffected
MMSYN1_0345		CP002027.1	436454	437345	+	JCVISYN3A_0345	ecfS	204772.0	205663.0	MMSYN1_0343	754	MMSYN1_0346	65	JCVISYN3A_0338	1156	JCVISYN3A_0346	65	MMSYN1_0346	65	+	MMSYN1_0344	138	-	JCVISYN3A_0346	65	+	JCVISYN3A_0344	138	-	754	2747	False	False	unaffected
MMSYN1_0346		CP002027.1	437410	438106	+	JCVISYN3A_0346	JCVISYN3A_0346	205728.0	206424.0	MMSYN1_0345	65	MMSYN1_0347	8	JCVISYN3A_0345	65	JCVISYN3A_0347	8	MMSYN1_0347	8	+	MMSYN1_0345	65	+	JCVISYN3A_0347	8	+	JCVISYN3A_0345	65	+	1710	1986	False	False	unaffected
MMSYN1_0347	cmk	CP002027.1	438114	438777	+	JCVISYN3A_0347	cmk	206432.0	207095.0	MMSYN1_0346	8	MMSYN1_0348	6	JCVISYN3A_0346	8	JCVISYN3A_0348	6	MMSYN1_0348	6	+	MMSYN1_0346	8	+	JCVISYN3A_0348	6	+	JCVISYN3A_0346	8	+	2414	1315	False	False	unaffected
MMSYN1_0348	engA	CP002027.1	438783	440091	+	JCVISYN3A_0348	engA	207101.0	208409.0	MMSYN1_0347	6	MMSYN1_0349	1	JCVISYN3A_0347	6	JCVISYN3A_0350	54	MMSYN1_0349	1	+	MMSYN1_0347	6	+	JCVISYN3A_0350	54	+	JCVISYN3A_0347	6	+	3083	1	True	False	unaffected
MMSYN1_0350	hup	CP002027.1	441113	441386	+	JCVISYN3A_0350	hupA	208463.0	208736.0	MMSYN1_0349	31	MMSYN1_0352	54	JCVISYN3A_0348	54	JCVISYN3A_0352	54	MMSYN1_0352	54	+	MMSYN1_0349	31	+	JCVISYN3A_0352	54	+	JCVISYN3A_0348	54	+	54	603	False	True	promoter_lost
MMSYN1_0352		CP002027.1	441440	441989	+	JCVISYN3A_0352	JCVISYN3A_0352	208790.0	209339.0	MMSYN1_0350	54	MMSYN1_0353	535	JCVISYN3A_0350	54	JCVISYN3A_0353	63	MMSYN1_0351	-38	-	MMSYN1_0350	54	+	JCVISYN3A_0353	63	+	JCVISYN3A_0350	54	+	381	0	True	False	promoter_lost
MMSYN1_0353		CP002027.1	442524	442902	+	JCVISYN3A_0353	JCVISYN3A_0353	209402.0	209780.0	MMSYN1_0352	535	MMSYN1_0354	158	JCVISYN3A_0352	63	JCVISYN3A_0356	417	MMSYN1_0354	158	+	MMSYN1_0351	63	-	JCVISYN3A_0356	417	+	JCVISYN3A_0352	63	+	63	159	True	True	promoter_lost
MMSYN1_0356	rnpB	CP002027.1	445957	446302	+	JCVISYN3A_0356	rnpB	210197.0	210537.0	MMSYN1_0355	85	MMSYN1_0357	36	JCVISYN3A_0353	417	JCVISYN3A_0359	174	MMSYN1_0357	36	+	MMSYN1_0355	85	+	JCVISYN3A_0359	174	+	JCVISYN3A_0353	417	+	85	37	True	True	promoter_proximity_changed
MMSYN1_0359		CP002027.1	448024	449554	+	JCVISYN3A_0359	JCVISYN3A_0359	210711.0	212241.0	MMSYN1_0358	135	MMSYN1_0360	33	JCVISYN3A_0356	174	JCVISYN3A_0360	33	MMSYN1_0360	33	+	MMSYN1_0358	135	+	JCVISYN3A_0360	33	+	JCVISYN3A_0356	174	+	135	4904	False	True	promoter_disconnected
MMSYN1_0360	ffh	CP002027.1	449587	450931	+	JCVISYN3A_0360	ffh	212274.0	213618.0	MMSYN1_0359	33	MMSYN1_0361	3	JCVISYN3A_0359	33	JCVISYN3A_0361	3	MMSYN1_0361	3	+	MMSYN1_0359	33	+	JCVISYN3A_0361	3	+	JCVISYN3A_0359	33	+	1698	3527	False	False	promoter_disconnected
MMSYN1_0361		CP002027.1	450934	451402	+	JCVISYN3A_0361	rlmH	213621.0	214089.0	MMSYN1_0360	3	MMSYN1_0362	90	JCVISYN3A_0360	3	JCVISYN3A_0362	90	MMSYN1_0362	90	+	MMSYN1_0360	3	+	JCVISYN3A_0362	90	+	JCVISYN3A_0360	3	+	3045	3056	False	False	promoter_disconnected
MMSYN1_0362	rpsP	CP002027.1	451492	451771	+	JCVISYN3A_0362	rpsP	214179.0	214458.0	MMSYN1_0361	90	MMSYN1_0363	31	JCVISYN3A_0361	90	JCVISYN3A_0363	31	MMSYN1_0363	31	+	MMSYN1_0361	90	+	JCVISYN3A_0363	31	+	JCVISYN3A_0361	90	+	3603	2687	False	False	unaffected
MMSYN1_0363	rimM	CP002027.1	451802	452297	+	JCVISYN3A_0363	rimM	214489.0	214984.0	MMSYN1_0362	31	MMSYN1_0364	1	JCVISYN3A_0362	31	JCVISYN3A_0364	1	MMSYN1_0364	1	+	MMSYN1_0362	31	+	JCVISYN3A_0364	1	+	JCVISYN3A_0362	31	+	3913	2161	False	False	unaffected
MMSYN1_0364	trmD	CP002027.1	452298	453021	+	JCVISYN3A_0364	trmD	214985.0	215708.0	MMSYN1_0363	1	MMSYN1_0365	1	JCVISYN3A_0363	1	JCVISYN3A_0365	1	MMSYN1_0365	1	+	MMSYN1_0363	1	+	JCVISYN3A_0365	1	+	JCVISYN3A_0363	1	+	4409	1437	False	False	unaffected
MMSYN1_0365	rplS	CP002027.1	453022	453406	+	JCVISYN3A_0365	rplS	215709.0	216093.0	MMSYN1_0364	1	MMSYN1_0366	98	JCVISYN3A_0364	1	JCVISYN3A_0366	98	MMSYN1_0366	98	+	MMSYN1_0364	1	+	JCVISYN3A_0366	98	+	JCVISYN3A_0364	1	+	5133	1052	False	False	unaffected
MMSYN1_0366	ylqF	CP002027.1	453504	454455	+	JCVISYN3A_0366	ylqF%3B rbgA	216191.0	217142.0	MMSYN1_0365	98	MMSYN1_0367	-7	JCVISYN3A_0365	98	JCVISYN3A_0371	380	MMSYN1_0367	-7	+	MMSYN1_0365	98	+	JCVISYN3A_0371	380	+	JCVISYN3A_0365	98	+	5615	3	True	False	context_only
MMSYN1_0371		CP002027.1	458815	460687	+	JCVISYN3A_0371	ywjA	217522.0	219394.0	MMSYN1_0370	218	MMSYN1_0372	15	JCVISYN3A_0366	380	JCVISYN3A_0372	15	MMSYN1_0372	15	+	MMSYN1_0370	218	+	JCVISYN3A_0372	15	+	JCVISYN3A_0366	380	+	225	9708	False	True	unaffected
MMSYN1_0372		CP002027.1	460702	462556	+	JCVISYN3A_0372	ywjA	219409.0	221263.0	MMSYN1_0371	15	MMSYN1_0373	33	JCVISYN3A_0371	15	JCVISYN3A_0373	33	MMSYN1_0373	33	+	MMSYN1_0371	15	+	JCVISYN3A_0373	33	+	JCVISYN3A_0371	15	+	2112	7839	False	False	unaffected
MMSYN1_0373		CP002027.1	462589	464197	+	JCVISYN3A_0373	JCVISYN3A_0373	221296.0	222904.0	MMSYN1_0372	33	MMSYN1_0374	55	JCVISYN3A_0372	33	JCVISYN3A_0374	55	MMSYN1_0374	55	+	MMSYN1_0372	33	+	JCVISYN3A_0374	55	+	JCVISYN3A_0372	33	+	3999	6198	False	False	unaffected
MMSYN1_0374		CP002027.1	464252	464329	+	JCVISYN3A_0374	tRNA-Arg	222959.0	223036.0	MMSYN1_0373	55	MMSYN1_0375	53	JCVISYN3A_0373	55	JCVISYN3A_0375	53	MMSYN1_0375	53	+	MMSYN1_0373	55	+	JCVISYN3A_0375	53	+	JCVISYN3A_0373	55	+	5662	6066	False	False	unaffected
MMSYN1_0375		CP002027.1	464382	465123	+	JCVISYN3A_0375	JCVISYN3A_0375	223089.0	223830.0	MMSYN1_0374	53	MMSYN1_0376	1	JCVISYN3A_0374	53	JCVISYN3A_0376	-29	MMSYN1_0376	1	+	MMSYN1_0374	53	+	JCVISYN3A_0376	-29	+	JCVISYN3A_0374	53	+	5792	5272	False	False	unaffected
MMSYN1_0376		CP002027.1	465124	465439	+	JCVISYN3A_0376	JCVISYN3A_0376	223801.0	224146.0	MMSYN1_0375	1	MMSYN1_0377	70	JCVISYN3A_0375	-29	JCVISYN3A_0377	70	MMSYN1_0377	70	+	MMSYN1_0375	1	+	JCVISYN3A_0377	70	+	JCVISYN3A_0375	-29	+	6534	4956	False	False	unaffected
MMSYN1_0377	cgtA	CP002027.1	465509	466811	+	JCVISYN3A_0377	obgE	224216.0	225518.0	MMSYN1_0376	70	MMSYN1_0378	1	JCVISYN3A_0376	70	JCVISYN3A_0378	1	MMSYN1_0378	1	+	MMSYN1_0376	70	+	JCVISYN3A_0378	1	+	JCVISYN3A_0376	70	+	6919	3584	False	False	unaffected
MMSYN1_0378	nadE	CP002027.1	466812	467550	+	JCVISYN3A_0378	nadE	225519.0	226257.0	MMSYN1_0377	1	MMSYN1_0379	16	JCVISYN3A_0377	1	JCVISYN3A_0379	16	MMSYN1_0379	16	+	MMSYN1_0377	1	+	JCVISYN3A_0379	16	+	JCVISYN3A_0377	1	+	8222	2845	False	False	unaffected
MMSYN1_0379		CP002027.1	467566	467845	+	JCVISYN3A_0379	JCVISYN3A_0379	226273.0	226552.0	MMSYN1_0378	16	MMSYN1_0380	17	JCVISYN3A_0378	16	JCVISYN3A_0380	17	MMSYN1_0380	17	+	MMSYN1_0378	16	+	JCVISYN3A_0380	17	+	JCVISYN3A_0378	16	+	8976	2550	False	False	unaffected
MMSYN1_0380		CP002027.1	467862	468960	+	JCVISYN3A_0380	nadD	226569.0	227667.0	MMSYN1_0379	17	MMSYN1_0381	4	JCVISYN3A_0379	17	JCVISYN3A_0381	4	MMSYN1_0381	4	+	MMSYN1_0379	17	+	JCVISYN3A_0381	4	+	JCVISYN3A_0379	17	+	9272	1435	False	False	unaffected
MMSYN1_0381	mtnN	CP002027.1	468964	469624	+	JCVISYN3A_0381	mtnN	227671.0	228331.0	MMSYN1_0380	4	MMSYN1_0382	9	JCVISYN3A_0380	4	JCVISYN3A_0382	9	MMSYN1_0382	9	+	MMSYN1_0380	4	+	JCVISYN3A_0382	9	+	JCVISYN3A_0380	4	+	10374	771	False	False	unaffected
MMSYN1_0382		CP002027.1	469633	470272	+	JCVISYN3A_0382	dnk	228340.0	228979.0	MMSYN1_0381	9	MMSYN1_0383	121	JCVISYN3A_0381	9	JCVISYN3A_0387	228	MMSYN1_0383	121	+	MMSYN1_0381	9	+	JCVISYN3A_0387	228	+	JCVISYN3A_0381	9	+	11043	123	True	False	unaffected
MMSYN1_0387	trmU	CP002027.1	473608	474736	+	JCVISYN3A_0387	mnmA	229207.0	230335.0	MMSYN1_0386	107	MMSYN1_0388	46	JCVISYN3A_0382	228	JCVISYN3A_0388	46	MMSYN1_0388	46	+	MMSYN1_0386	107	+	JCVISYN3A_0388	46	+	JCVISYN3A_0382	228	+	114	4804	False	True	unaffected
MMSYN1_0388		CP002027.1	474782	475400	+	JCVISYN3A_0388	JCVISYN3A_0388	230381.0	230999.0	MMSYN1_0387	46	MMSYN1_0389	75	JCVISYN3A_0387	46	JCVISYN3A_0389	75	MMSYN1_0389	75	+	MMSYN1_0387	46	+	JCVISYN3A_0389	75	+	JCVISYN3A_0387	46	+	1288	4140	False	False	unaffected
MMSYN1_0389		CP002027.1	475475	477620	+	JCVISYN3A_0389	JCVISYN3A_0389	231074.0	233219.0	MMSYN1_0388	75	MMSYN1_0390	-11	JCVISYN3A_0388	75	JCVISYN3A_0390	-11	MMSYN1_0390	-11	+	MMSYN1_0388	75	+	JCVISYN3A_0390	-11	+	JCVISYN3A_0388	75	+	1981	1920	False	False	unaffected
MMSYN1_0390	fmt	CP002027.1	477609	478563	+	JCVISYN3A_0390	fmt	233208.0	234162.0	MMSYN1_0389	-11	MMSYN1_0391	86	JCVISYN3A_0389	-11	JCVISYN3A_0391	86	MMSYN1_0391	86	+	MMSYN1_0389	-11	+	JCVISYN3A_0391	86	+	JCVISYN3A_0389	-11	+	4115	977	False	False	unaffected
MMSYN1_0391	efp	CP002027.1	478649	479204	+	JCVISYN3A_0391	efp	234248.0	234803.0	MMSYN1_0390	86	MMSYN1_0392	17	JCVISYN3A_0390	86	JCVISYN3A_0392	17	MMSYN1_0392	17	+	MMSYN1_0390	86	+	JCVISYN3A_0392	17	+	JCVISYN3A_0390	86	+	5155	336	False	False	context_only
MMSYN1_0392		CP002027.1	479221	479524	+	JCVISYN3A_0392	JCVISYN3A_0392	234820.0	235123.0	MMSYN1_0391	17	MMSYN1_0393	16	JCVISYN3A_0391	17	JCVISYN3A_0394	138	MMSYN1_0393	16	+	MMSYN1_0391	17	+	JCVISYN3A_0394	138	+	JCVISYN3A_0391	17	+	5727	16	True	False	context_only
MMSYN1_0394	lon	CP002027.1	480949	483310	+	JCVISYN3A_0394	lon	235261.0	237622.0	MMSYN1_0393	122	MMSYN1_0395	98	JCVISYN3A_0392	138	JCVISYN3A_0399	2749	MMSYN1_0395	98	+	MMSYN1_0393	122	+	JCVISYN3A_0398	137	-	JCVISYN3A_0392	138	+	124	99	True	True	unaffected
MMSYN1_0398		CP002027.1	489279	491742	-	JCVISYN3A_0398	JCVISYN3A_0398	237759.0	240222.0	MMSYN1_0415	26420	MMSYN1_0397	39	JCVISYN3A_0415	26420	JCVISYN3A_0344	33125	MMSYN1_0399	149	+	MMSYN1_0397	39	-	JCVISYN3A_0399	149	+	JCVISYN3A_0394	137	+	41	30095	False	True	unaffected
MMSYN1_0399		CP002027.1	491891	497153	+	JCVISYN3A_0399	JCVISYN3A_0399	240371.0	245633.0	MMSYN1_0395	7247	MMSYN1_0400	47	JCVISYN3A_0394	2749	JCVISYN3A_0400	47	MMSYN1_0400	47	+	MMSYN1_0398	149	-	JCVISYN3A_0400	47	+	JCVISYN3A_0398	149	-	2653	24684	False	False	unaffected
MMSYN1_0400		CP002027.1	497200	497752	+	JCVISYN3A_0400	JCVISYN3A_0400	245680.0	246232.0	MMSYN1_0399	47	MMSYN1_0401	97	JCVISYN3A_0399	47	JCVISYN3A_0401	34	MMSYN1_0401	97	+	MMSYN1_0399	47	+	JCVISYN3A_0401	34	+	JCVISYN3A_0399	47	+	7962	24085	False	False	unaffected
MMSYN1_0401		CP002027.1	497849	499634	+	JCVISYN3A_0401	JCVISYN3A_0401	246266.0	248114.0	MMSYN1_0400	97	MMSYN1_0402	4	JCVISYN3A_0400	34	JCVISYN3A_0402	4	MMSYN1_0402	4	+	MMSYN1_0400	97	+	JCVISYN3A_0402	4	+	JCVISYN3A_0400	34	+	8611	22203	False	False	unaffected
MMSYN1_0402		CP002027.1	499638	500133	+	JCVISYN3A_0402	ybeY	248118.0	248613.0	MMSYN1_0401	4	MMSYN1_0403	3	JCVISYN3A_0401	4	JCVISYN3A_0403	3	MMSYN1_0403	3	+	MMSYN1_0401	4	+	JCVISYN3A_0403	3	+	JCVISYN3A_0401	4	+	10400	21704	False	False	unaffected
MMSYN1_0403	era	CP002027.1	500136	501042	+	JCVISYN3A_0403	era	248616.0	249522.0	MMSYN1_0402	3	MMSYN1_0404	-1	JCVISYN3A_0402	3	JCVISYN3A_0404	-1	MMSYN1_0404	-1	+	MMSYN1_0402	3	+	JCVISYN3A_0404	-1	+	JCVISYN3A_0402	3	+	10898	20795	False	False	unaffected
MMSYN1_0404	recO	CP002027.1	501041	501791	+	JCVISYN3A_0404	recO	249521.0	250271.0	MMSYN1_0403	-1	MMSYN1_0405	63	JCVISYN3A_0403	-1	JCVISYN3A_0405	63	MMSYN1_0405	63	+	MMSYN1_0403	-1	+	JCVISYN3A_0405	63	+	JCVISYN3A_0403	-1	+	11803	20046	False	False	unaffected
MMSYN1_0405	glyS	CP002027.1	501854	503225	+	JCVISYN3A_0405	glyRS	250334.0	251705.0	MMSYN1_0404	63	MMSYN1_0406	34	JCVISYN3A_0404	63	JCVISYN3A_0406	34	MMSYN1_0406	34	+	MMSYN1_0404	63	+	JCVISYN3A_0406	34	+	JCVISYN3A_0404	63	+	12616	18612	False	False	unaffected
MMSYN1_0406	dnaG	CP002027.1	503259	505098	+	JCVISYN3A_0406	dnaG	251739.0	253578.0	MMSYN1_0405	34	MMSYN1_0407	2	JCVISYN3A_0405	34	JCVISYN3A_0407	2	MMSYN1_0407	2	+	MMSYN1_0405	34	+	JCVISYN3A_0407	2	+	JCVISYN3A_0405	34	+	14021	16739	False	False	unaffected
MMSYN1_0407	rpoD	CP002027.1	505100	506621	+	JCVISYN3A_0407	rpoD	253580.0	255101.0	MMSYN1_0406	2	MMSYN1_0408	-1	JCVISYN3A_0406	2	JCVISYN3A_0408	-1	MMSYN1_0408	-1	+	MMSYN1_0406	2	+	JCVISYN3A_0408	-1	+	JCVISYN3A_0406	2	+	15862	15216	False	False	unaffected
MMSYN1_0408		CP002027.1	506620	507298	+	JCVISYN3A_0408	trmK%3B yqfN	255100.0	255778.0	MMSYN1_0407	-1	MMSYN1_0409	-14	JCVISYN3A_0407	-1	JCVISYN3A_0409	-14	MMSYN1_0409	-14	+	MMSYN1_0407	-1	+	JCVISYN3A_0409	-14	+	JCVISYN3A_0407	-1	+	17382	14539	False	False	unaffected
MMSYN1_0409		CP002027.1	507284	508061	+	JCVISYN3A_0409	JCVISYN3A_0409	255764.0	256541.0	MMSYN1_0408	-14	MMSYN1_0410	8	JCVISYN3A_0408	-14	JCVISYN3A_0410	8	MMSYN1_0410	8	+	MMSYN1_0408	-14	+	JCVISYN3A_0410	8	+	JCVISYN3A_0408	-14	+	18046	13776	False	False	unaffected
MMSYN1_0410		CP002027.1	508069	509431	+	JCVISYN3A_0410	JCVISYN3A_0410	256549.0	257911.0	MMSYN1_0409	8	MMSYN1_0411	39	JCVISYN3A_0409	8	JCVISYN3A_0411	39	MMSYN1_0411	39	+	MMSYN1_0409	8	+	JCVISYN3A_0411	39	+	JCVISYN3A_0409	8	+	18831	12406	False	False	unaffected
