locus_tag,gene_name,gene_product,protein_localization,TPM_illumina,iPM_mean,protein_copy_number,CAI,TIR,protein_halflife_h
JCVISYN3A_0826,yqeN,DNA polymerase III subunit delta,cytoplasmic,5.631,196.147,19.68546247801197,0.758,325.654,
JCVISYN3A_0827,,Uncharacterized protein,membrane,103.815,908.726,91.2006249000238,0.717,8684.601,
JCVISYN3A_0830,-/yqxA-like,Uncharacterized protein/Growth factor,membrane,12.721,0.889,0.0892389127031802,0.799,7283.386,
JCVISYN3A_0831,prs,Phosphoribosylpyrophosphate synthetase,cytoplasmic,854.58,6621.502,664.5400188612549,0.773,12429.016,14.093
JCVISYN3A_0832,pth,Aminoacyl-tRNA hydrolase,cytoplasmic,67.342,781.821,78.46426158535026,0.727,6831.446,47.314
JCVISYN3A_0833,rplI,50S ribosomal protein L9,cytoplasmic,92.416,1666.28,167.22935845529778,0.719,755.676,2.16
JCVISYN3A_0834,dnaC,Replicative DNA helicase,cytoplasmic,332.604,1268.53,127.31085242375,0.761,10030.355,4.435
JCVISYN3A_0835,,Uncharacterized lipoprotein,lipoprotein,412.056,674.78,67.72152729281719,0.711,20086.82,
JCVISYN3A_0836,ecfS,Uncharacterized ECF transporter S component,membrane,340.407,45.427,4.559100158077207,0.709,4960.548,
JCVISYN3A_0837,cysRS,Cysteine--tRNA ligase,cytoplasmic,171.057,280.112,28.1123304040293,0.733,14013.782,2.698
JCVISYN3A_0838,rlmB,23S rRNA (guanosine(2251)-2'-O)-methyltransferase,cytoplasmic,79.455,177.042,17.768096463168728,0.753,3590.282,2.949
JCVISYN3A_0932,rpmG,50S ribosomal protein L33,cytoplasmic,237.172,768.494,77.12676386407944,0.562,78389.471,
JCVISYN3A_0839,secE,Preprotein translocase subunit,membrane,450.965,89.156,8.947809022073761,0.718,36078.474,
JCVISYN3A_0840,nusG,Antitermination protein,cytoplasmic,1215.34,3001.901,301.2735837463794,0.8,35106.062,
JCVISYN3A_0851,,Uncharacterized lipoprotein,lipoprotein,5.535,,,0.634,724.792,
JCVISYN3A_0852,,Uncharacterized protein,membrane,20.926,5.534,0.5553748552227079,0.613,4912.943,
JCVISYN3A_0853,,Uncharacterized protein,cytoplasmic,41.117,90.248,9.05736460696195,0.655,12751.273,
JCVISYN3A_0859,topA,DNA topoisomerase I,cytoplasmic,183.676,837.568,84.05912992119282,0.779,19328.906,3.374
JCVISYN3A_0870,,Uncharacterized C4-dicarboxylate ABC transporter,membrane,174.052,64.482,6.471505684754512,0.741,2138.112,
JCVISYN3A_0872,ychF/ychF,Uncharacterized ATPase/Ribosome Binding Factor ATPase,cytoplasmic,250.955,562.39,56.44198482091965,0.753,4220.552,
JCVISYN3A_0873,,Uncharacterized protein,cytoplasmic,69.624,3.544,0.3556377443596171,0.72,16615.348,
JCVISYN3A_0874,rsmG,16S rRNA (guanine(527)-N(7))-methyltransferase,cytoplasmic,96.593,272.02,27.30019338954029,0.741,238.793,13.598
JCVISYN3A_0875,pgsA,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,membrane,86.343,584.497,58.66061205524554,0.699,12751.273,61.917
JCVISYN3A_0876,,Uncharacterized amino acid permease,membrane,443.311,322.844,32.40095462151947,0.66,171707.828,
JCVISYN3A_0877,fmnP; ribU,Riboflavin ECF transporter S component ,membrane,355.795,123.486,12.393153077535873,0.614,3304.871,
JCVISYN3A_0878,-/gabP,Uncharacterized amino acid permease/amino acid transporter,membrane,483.411,449.739,45.13626073556562,0.711,4952.913,
JCVISYN3A_0879,corA,magnesium-importing ATPase ,membrane,60.248,212.169,21.29351829217661,0.722,10591.202,
JCVISYN3A_0881,,Uncharacterized MFS transporter,membrane,3259.107,1150.595,115.474784622457,0.646,1753.214,
JCVISYN3A_0885,mnmG; gidA,tRNA uridine(34) 5-carboxymethylaminomethyl synthesis enzyme,cytoplasmic,595.572,525.085,52.698066611681256,0.722,10030.355,5.445
JCVISYN3A_0886,gltP,Proton-glutamate symporter,membrane,486.711,197.246,19.79575518512988,0.724,2447.727,
JCVISYN3A_0887,cdr,Coenzyme A Disulfide Reductase,cytoplasmic,242.874,260.403,26.13429891819517,0.723,594.427,
JCVISYN3A_0906,,Uncharacterized protein,cytoplasmic,68.779,546.91,54.88839329734999,0.707,5504.568,
JCVISYN3A_0907,,Low specificity hydrolase ,cytoplasmic,44.16,160.827,16.140719445769594,0.723,3545.044,
JCVISYN3A_0908,yidC,Membrane protein insertase,membrane,871.708,387.825,38.92250134363413,0.607,345723.148,45.574
JCVISYN3A_0909,rnpA,Ribonuclease P protein component,cytoplasmic,1096.482,26.783,2.6879678375364824,0.639,22.591,
JCVISYN3A_0910,rpmH,50S ribosomal protein L34,cytoplasmic,1616.3,10.805,1.0844442893221526,0.824,146318.289,
