"Locus Tag"	"Gene Name"	"Gene Product"	"Protein Length"	"Exp. Ptn Cnt"	"Essentiality"	"Primary Function"	"Secondary Function"	"Tertiary Function"	"Localization"	"Sim. Initial Ptn Cnt"	"Review Flag"	"Mismatch Solved"
"JCVISYN3A_0549"	"rgdB"	"Non-canonical purine NTP pyrophosphatase"	200	129	"Nonessential"	"Metabolism"	"Central Carbon Metabolism"	"Nucleotide metabolism"	"cytoplasm"	129	"AI"	
"JCVISYN3A_0931"	"met14p"	"Adenylyl-sulfate kinase"	202	"-"	"Nonessential"	"Metabolism"	"Biosynthesis"	"Cofactor biosynthesis"	"cytoplasm"	10	"AI"	
"JCVISYN3A_0592"		"Uncharacterized protein"	399	79	"Quasiessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	79	"AI"	
"JCVISYN3A_0593"		"Uncharacterized protein"	92	"-"	"Nonessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	10	"AI"	
"JCVISYN3A_0599"		"Uncharacterized protein"	46	2	"Nonessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	10	"AI"	
"JCVISYN3A_0600"	"rnjA"	"Ribonuclease J"	610	120	"Essential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"RNA degradation"	"peripheral membrane"	120		
"JCVISYN3A_0601"		"Uncharacterized protein"	314	72	"Nonessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	72	"AI"	
"JCVISYN3A_0604"	"lemA/lemA-gacS"	"Uncharacterized protein/two component sensor, membrane"	222	345	"Nonessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	345	"AI"	
"JCVISYN3A_0605"		"Uncharacterized protein"	102	68	"Nonessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"lipoprotein"	68	"AI"	
"JCVISYN3A_0606"	"pgk"	"Phosphoglycerate kinase"	404	411	"Essential"	"Metabolism"	"Central Carbon Metabolism"	"Glycolysis"	"cytoplasm"	411	"CONFLICT(also:Nucleotide)"	
"JCVISYN3A_0607"	"gapDH"	"Type I glyceraldehyde-3-phosphate dehydrogenase"	338	1355	"Essential"	"Metabolism"	"Central Carbon Metabolism"	"Glycolysis"	"cytoplasm"	1355		
"JCVISYN3A_0608"	"dnaI"	"Primosomal protein"	312	41	"Essential"	"Genetic Information Processing"	"DNA Maintenance"	"DNA replication control"	"cytoplasm"	41	"AI"	
"JCVISYN3A_0609"	"dnaB"	"Chromosome replication initiation protein"	394	15	"Essential"	"Genetic Information Processing"	"DNA Maintenance"	"DNA replication control"	"cytoplasm"	15	"AI"	
"JCVISYN3A_0610"	"mutM"	"DNA-formamidopyrimidine glycosylase"	274	121	"Nonessential"	"Genetic Information Processing"	"DNA Maintenance"	"Base excision repair"	"cytoplasm"	121	"AI"	
"JCVISYN3A_0611"	"polA"	"DNA polymerase I"	911	101	"Essential"	"Genetic Information Processing"	"DNA Maintenance"	"DNA replication"	"cytoplasm"	101	"AI"	
"JCVISYN3A_0612"	"dnaE"	"DNA polymerase III subunit alpha"	987	36	"Essential"	"Genetic Information Processing"	"DNA Maintenance"	"DNA replication complex"	"cytoplasm"	36	"AI"	
"JCVISYN3A_0613"	"tyrRS"	"Tyrosine--tRNA ligase"	414	98	"Essential"	"Metabolism"	"Translation"	"tRNA loading"	"cytoplasm"	101	"PRIMARY_MISMATCH"	
"JCVISYN3A_0614"	"pncB"	"Nicotinate phosphoribosyltransferase"	353	165	"Essential"	"Metabolism"	"Biosynthesis"	"Cofactor biosynthesis"	"cytoplasm"	165		
"JCVISYN3A_0615"		"Uncharacterized protein"	202	233	"Quasiessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	233	"AI"	
"JCVISYN3A_0616"	"fakB"	"Fatty acid binding protein"	279	366	"Essential"	"Metabolism"	"Biosynthesis"	"Lipid metabolism"	"peripheral membrane"	366		
"JCVISYN3A_0617"	"fakB"	"Fatty acid binding protein"	283	205	"Quasiessential"	"Metabolism"	"Biosynthesis"	"Lipid metabolism"	"peripheral membrane"	205		
"JCVISYN3A_0620"	"perR"	"Uncharacterized transcriptional regulator"	154	18	"Nonessential"	"Genetic Information Processing"	"Transcription"	"Transcription factors"	"cytoplasm"	18	"AI"	
"JCVISYN3A_0621"	"acpA"	"Acyl carrier protein"	73	138	"Essential"	"Metabolism"	"Biosynthesis"	"Lipid metabolism"	"peripheral membrane"	652	"AI"	
"JCVISYN3A_0622"		"Uncharacterized lipoprotein"	120	"-"	"Nonessential"	"Unclear"	"Kegg ortholog defined"	"General function prediction only"	"trans-membrane"	10	"AI"	
"JCVISYN3A_0623"		"Uncharacterized protein"	356	"-"	"Nonessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"unidentified"	10	"AI"	
"JCVISYN3A_0634"	"leuRS"	"Leucine--tRNA ligase"	804	208	"Essential"	"Metabolism"	"Translation"	"tRNA loading"	"cytoplasm"	211	"PRIMARY_MISMATCH"	
"JCVISYN3A_0636"		"Uncharacterized lipoprotein"	929	111	"Essential"	"Unclear"	"Kegg ortholog defined"	"General function prediction only"	"lipoprotein"	111	"AI"	
"JCVISYN3A_0637"	"rpsI"	"30S ribosomal protein S9"	132	426	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	426		
"JCVISYN3A_0638"	"rplM"	"50S ribosomal protein L13"	151	632	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	632		
"JCVISYN3A_0639"		"Uncharacterized efflux ABC transporter permease"	1381	95	"Essential"	"Metabolism"	"Membrane Transport"	"Drug resistance"	"trans-membrane"	95	"AI"	
"JCVISYN3A_0640"	"truA"	"tRNA pseudouridine(38-40) synthase"	251	14	"Quasiessential"	"Genetic Information Processing"	"Translation"	"tRNA biogenesis"	"cytoplasm"	14	"AI"	
"JCVISYN3A_0641"	"ecfT"	"ECF transporter T component"	336	25	"Essential"	"Metabolism"	"Membrane Transport"	"Cofactor"	"trans-membrane"	25		
"JCVISYN3A_0642"	"ecfA"	"ECF transporter ATPase"	303	274	"Essential"	"Metabolism"	"Membrane Transport"	"Cofactor"	"peripheral membrane"	274		
"JCVISYN3A_0643"	"ecfA"	"ECF transporter ATPase"	408	"-"	"Essential"	"Metabolism"	"Membrane Transport"	"Cofactor"	"peripheral membrane"	10		
"JCVISYN3A_0644"	"rplQ"	"50S ribosomal protein L17"	119	117	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	117		
"JCVISYN3A_0645"	"rpoA"	"DNA-directed RNA polymerase subunit alpha"	317	187	"Essential"	"Genetic Information Processing"	"Transcription"	"Transcription machinery"	"cytoplasm"	187		
"JCVISYN3A_0646"	"rpsK"	"30S ribosomal protein S11"	129	228	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	228		
"JCVISYN3A_0647"	"rpsM"	"30S ribosomal protein S13"	121	665	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	665		
"JCVISYN3A_0648"	"rpmJ"	"50S ribosomal protein L36"	37	"-"	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	10		
"JCVISYN3A_0649"	"infA"	"Translation initiation factor IF-1"	74	"-"	"Essential"	"Genetic Information Processing"	"Translation"	"Translation factors"	"cytoplasm"	10	"AI"	
"JCVISYN3A_0650"	"map"	"Type I methionyl aminopeptidase"	251	69	"Essential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"Peptidases"	"cytoplasm"	69	"AI"	
"JCVISYN3A_0651"	"adk"	"Adenylate kinase"	213	213	"Essential"	"Metabolism"	"Central Carbon Metabolism"	"Nucleotide metabolism"	"cytoplasm"	213		
"JCVISYN3A_0652"	"secY"	"Preprotein translocase subunit"	482	66	"Essential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"Protein export"	"trans-membrane"	66		
"JCVISYN3A_0653"	"rplO"	"50S ribosomal protein L15"	145	285	"Quasiessential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	285		
"JCVISYN3A_0654"	"rpsE"	"30S ribosomal protein S5"	254	395	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	395		
"JCVISYN3A_0655"	"rplR"	"50S ribosomal protein L18"	116	274	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	274		
"JCVISYN3A_0656"	"rplF"	"50S ribosomal protein L6"	180	716	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	716		
"JCVISYN3A_0657"	"rpsH"	"30S ribosomal protein S8"	129	217	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	217		
"JCVISYN3A_0658"	"rpsN"	"30S ribosomal protein S14"	61	331	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	331		
"JCVISYN3A_0659"	"rplE"	"50S ribosomal protein L5"	180	703	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	703		
"JCVISYN3A_0660"	"rplX"	"50S ribosomal protein L24"	108	305	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	305		
"JCVISYN3A_0661"	"rplN"	"50S ribosomal protein L14"	122	100	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	100		
"JCVISYN3A_0662"	"rpsQ"	"30S ribosomal protein S17"	86	530	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	530		
"JCVISYN3A_0663"	"rpmC"	"50S ribosomal protein L29"	138	533	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	533		
"JCVISYN3A_0664"	"rplP"	"50S ribosomal protein L16"	137	168	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	168		
"JCVISYN3A_0665"	"rpsC"	"30S ribosomal protein S3"	233	1001	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	1001		
"JCVISYN3A_0666"	"rplV"	"50S ribosomal protein L22"	111	373	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	373		
"JCVISYN3A_0667"	"rpsS"	"30S ribosomal protein S19"	88	630	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	630		
"JCVISYN3A_0668"	"rplB"	"50S ribosomal protein L2"	282	184	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	184		
"JCVISYN3A_0669"	"rplW"	"50S ribosomal protein L23"	94	349	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	349		
"JCVISYN3A_0670"	"rplD"	"50S ribosomal protein L4"	208	258	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	258		
"JCVISYN3A_0671"	"rplC"	"50S ribosomal protein L3"	223	434	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	434		
"JCVISYN3A_0672"	"rpsJ"	"30S ribosomal protein S10"	102	725	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	725		
"JCVISYN3A_0684"	"folD"	"Bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/5,10-methylene-tetrahydrofolate cyclohydrolase"	288	76	"Quasiessential"	"Metabolism"	"Biosynthesis"	"Cofactor biosynthesis"	"cytoplasm"	76		
"JCVISYN3A_0685"	"ktrD"	"Sodium transporter"	533	17	"Essential"	"Metabolism"	"Membrane Transport"	"Inorganic"	"trans-membrane"	17		
"JCVISYN3A_0686"	"ktrC"	"Potassium transporter"	242	305	"Essential"	"Metabolism"	"Membrane Transport"	"Inorganic"	"peripheral membrane"	305		
"JCVISYN3A_0687"	"gatB"	"Glutamyl-tRNA amidotransferase subunit B"	479	212	"Essential"	"Genetic Information Processing"	"Translation"	"tRNA biogenesis"	"cytoplasm"	212	"AI"	
"JCVISYN3A_0688"	"gatA"	"Glutamyl-tRNA amidotransferase subunit A"	485	144	"Essential"	"Genetic Information Processing"	"Translation"	"tRNA biogenesis"	"cytoplasm"	144	"AI"	
"JCVISYN3A_0689"	"gatC"	"Glutamyl-tRNA amidotransferase subunit C"	98	87	"Essential"	"Genetic Information Processing"	"Translation"	"tRNA loading"	"cytoplasm"	91		
"JCVISYN3A_0690"	"ligA"	"DNA ligase (NAD(+))"	668	48	"Essential"	"Genetic Information Processing"	"DNA Maintenance"	"DNA replication"	"cytoplasm"	48	"AI"	
"JCVISYN3A_0691"		"Uncharacterized protein"	673	11	"Essential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	11	"AI"	
"JCVISYN3A_0692"	"rluC"	"Uncharacterized pseudouridine synthase"	302	36	"Nonessential"	"Genetic Information Processing"	"Kegg ortholog defined"	"General function prediction only"	"cytoplasm"	36	"PRIMARY_MISMATCH; AI"	
"JCVISYN3A_0693"		"Uncharacterized protease"	322	21	"Essential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"Peptidases"	"trans-membrane"	21	"AI"	
"JCVISYN3A_0694"	"ptsH"	"ptsH: Phosphocarrier protein"	89	290	"Essential"	"Metabolism"	"Membrane Transport"	"Carbohydrates"	"cytoplasm"	289	"AI"	
"JCVISYN3A_0695"	"pcrA"	"ATP-dependent DNA helicase"	722	218	"Quasiessential"	"Genetic Information Processing"	"DNA Maintenance"	"DNA replication"	"cytoplasm"	218	"AI"	
"JCVISYN3A_0696"		"Uncharacterized transporter"	251	4	"Essential"	"Metabolism"	"Membrane Transport"	"Other Transport"	"trans-membrane"	10	"AI"	
"JCVISYN3A_0697"		"Uncharacterized glycosyl transferase"	318	119	"Quasiessential"	"Metabolism"	"Biosynthesis"	"Lipid metabolism"	"peripheral membrane"	119		
"JCVISYN3A_0706"	"thiP"	"Thiamine ABC transporter permease"	582	2	"Quasiessential"	"Metabolism"	"Membrane Transport"	"Cofactor"	"trans-membrane"	10		
"JCVISYN3A_0707"	"thiQ"	"Thiamine ABC transporter ATP-binding protein"	249	41	"Quasiessential"	"Metabolism"	"Membrane Transport"	"Cofactor"	"peripheral membrane"	41		
"JCVISYN3A_0708"	"thiB"	"Thiamine ABC transporter substrate-binding protein"	487	210	"Quasiessential"	"Metabolism"	"Membrane Transport"	"Cofactor"	"lipoprotein"	210		
"JCVISYN3A_0710"		"Low specificity hydrolase "	287	81	"Quasiessential"	"Unclear"	"Other Enzymes"	"Other enzymes"	"cytoplasm"	81	"PRIMARY_MISMATCH; AI"	
"JCVISYN3A_0726"	"nagB"	"Glucosamine-6-phosphate deaminase"	244	142	"Nonessential"	"Metabolism"	"Central Carbon Metabolism"	"Other central metabolism enzymes"	"cytoplasm"	142	"AI"	
"JCVISYN3A_0727"	"tpiA"	"Triose-phosphate isomerase"	248	410	"Essential"	"Metabolism"	"Central Carbon Metabolism"	"Glycolysis"	"cytoplasm"	410		
"JCVISYN3A_0728"	"ycsE; YitU; ywtE"	"Low specificity hydrolase "	278	105	"Nonessential"	"Unclear"	"Other Enzymes"	"Other enzymes"	"cytoplasm"	105	"PRIMARY_MISMATCH; AI"	
"JCVISYN3A_0729"	"pgm"	"Phosphoglycerate mutase (2,3-diphosphoglycerate-independent)"	531	322	"Essential"	"Metabolism"	"Central Carbon Metabolism"	"Glycolysis"	"cytoplasm"	322		
"JCVISYN3A_0730"		"Uncharacterized protein"	199	16	"Quasiessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	16	"AI"	
"JCVISYN3A_0732"	"deoC"	"Deoxyribose-phosphate aldolase"	222	171	"Nonessential"	"Metabolism"	"Central Carbon Metabolism"	"Pentose phosphate metabolism"	"cytoplasm"	171		
"JCVISYN3A_0733"	"deoB"	"Phosphopentomutase"	558	274	"Essential"	"Metabolism"	"Central Carbon Metabolism"	"Pentose phosphate metabolism"	"cytoplasm"	274	"CONFLICT(also:Lipid)"	
"JCVISYN3A_0747"	"punA"	"Purine-nucleoside phosphorylase"	217	629	"Quasiessential"	"Metabolism"	"Central Carbon Metabolism"	"Nucleotide metabolism"	"cytoplasm"	629		
"JCVISYN3A_0771"	"nrdE"	"Ribonucleotide-diphosphate reductase subunit alpha"	720	382	"Quasiessential"	"Genetic Information Processing"	"Central Carbon Metabolism"	"Nucleotide metabolism"	"cytoplasm"	382	"PRIMARY_MISMATCH"	
"JCVISYN3A_0772"	"nrdI"	"Ribonucleotide reductase assembly protein"	157	50	"Essential"	"Metabolism"	"Central Carbon Metabolism"	"Nucleotide metabolism"	"cytoplasm"	50		
"JCVISYN3A_0773"	"nrdF"	"Ribonucleoside-diphosphate reductase subunit beta"	339	297	"Quasiessential"	"Genetic Information Processing"	"Central Carbon Metabolism"	"Nucleotide metabolism"	"cytoplasm"	297	"PRIMARY_MISMATCH"	
"JCVISYN3A_0774"	"secG"	"Preprotein translocase subunit"	94	4	"Quasiessential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"Protein export"	"trans-membrane"	10		
"JCVISYN3A_0775"	"rnr"	"Ribonuclease R"	704	140	"Essential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"RNA degradation"	"peripheral membrane"	140	"AI"	
"JCVISYN3A_0776"	"smpB"	"SsrA-binding protein"	148	93	"Essential"	"Genetic Information Processing"	"Translation"	"Translation factors"	"cytoplasm"	93	"AI"	
"JCVISYN3A_0777"		"Uncharacterized protein"	161	10	"Quasiessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	10	"AI"	
"JCVISYN3A_0778"		"Uncharacterized protein"	83	5	"Essential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	10	"AI"	
"JCVISYN3A_0779"	"ptsG"	"PTS sugar transporter"	745	831	"Essential"	"Metabolism"	"Membrane Transport"	"Carbohydrates"	"trans-membrane"	830	"AI"	
"JCVISYN3A_0787"	"mgtA"	"Magnesium-translocating P-type ATPase"	942	65	"Essential"	"Metabolism"	"Membrane Transport"	"Inorganic"	"trans-membrane"	65		
"JCVISYN3A_0789"	"atpC"	"F1 ATP synthase subunit epsilon"	99	108	"Essential"	"Metabolism"	"Energy Metabolism"	"Oxidative phosphorylation"	"peripheral membrane"	108		
"JCVISYN3A_0790"	"atpD"	"F1 ATP synthase subunit beta"	475	347	"Essential"	"Metabolism"	"Energy Metabolism"	"Oxidative phosphorylation"	"peripheral membrane"	347		
"JCVISYN3A_0791"	"atpG"	"F1 ATP synthase subunit gamma"	280	136	"Essential"	"Metabolism"	"Energy Metabolism"	"Oxidative phosphorylation"	"peripheral membrane"	136		
"JCVISYN3A_0792"	"atpA"	"F1 ATP synthase subunit alpha"	525	327	"Essential"	"Metabolism"	"Energy Metabolism"	"Oxidative phosphorylation"	"peripheral membrane"	327		
"JCVISYN3A_0793"	"atpH"	"F1 ATP synthase subunit delta"	181	32	"Essential"	"Metabolism"	"Energy Metabolism"	"Oxidative phosphorylation"	"peripheral membrane"	32		
"JCVISYN3A_0794"	"atpF"	"F0 ATP synthase subunit B"	181	181	"Essential"	"Metabolism"	"Energy Metabolism"	"Oxidative phosphorylation"	"trans-membrane"	181		
"JCVISYN3A_0795"	"atpE"	"F0 ATP synthase subunit C"	101	"-"	"Essential"	"Metabolism"	"Energy Metabolism"	"Oxidative phosphorylation"	"trans-membrane"	10		
"JCVISYN3A_0796"	"atpB"	"F0 ATP synthase subunit A"	287	8	"Essential"	"Metabolism"	"Energy Metabolism"	"Oxidative phosphorylation"	"trans-membrane"	10		
"JCVISYN3A_0797"	"atpI"	"Uncharacterized protein/Chaperon for ATP Synthase C-ring formation"	132	9	"Essential"	"Unclear"	"Kegg ortholog defined"	"General function prediction only"	"trans-membrane"	10	"AI"	
"JCVISYN3A_0798"	"upp"	"Uracil phosphoribosyltransferase"	207	362	"Essential"	"Metabolism"	"Central Carbon Metabolism"	"Nucleotide metabolism"	"cytoplasm"	362		
"JCVISYN3A_0799"	"glyA"	"Serine hydroxymethyltransferase"	413	178	"Quasiessential"	"Metabolism"	"Biosynthesis"	"Cofactor biosynthesis"	"cytoplasm"	178		
"JCVISYN3A_0800"	"rpiB"	"Ribose 5-phosphate isomerase B"	147	207	"Quasiessential"	"Metabolism"	"Central Carbon Metabolism"	"Pentose phosphate metabolism"	"cytoplasm"	207		
"JCVISYN3A_0803"	"rpoC"	"DNA-directed RNA polymerase subunit beta'"	1255	546	"Essential"	"Genetic Information Processing"	"Transcription"	"Transcription machinery"	"cytoplasm"	546		
"JCVISYN3A_0804"	"rpoB"	"DNA-directed RNA polymerase subunit beta"	1291	529	"Essential"	"Genetic Information Processing"	"Transcription"	"Transcription machinery"	"cytoplasm"	529		
"JCVISYN3A_0805"	"-/fic"	"Uncharacterized protein/Filamentation, Protein Adenylation"	391	27	"Essential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	27	"AI"	
"JCVISYN3A_0806"	"rplG"	"50S ribosomal protein L7/L12"	122	765	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	765		
"JCVISYN3A_0807"	"rplJ"	"50S ribosomal protein L10"	165	283	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	283		
"JCVISYN3A_0809"	"rplA"	"50S ribosomal protein L1"	226	658	"Quasiessential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	658		
"JCVISYN3A_0810"	"rplK"	"50S ribosomal protein L11"	142	946	"Quasiessential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	946		
"JCVISYN3A_0813"	"galE"	"UDP-glucose 4-epimerase GalE"	332	86	"Essential"	"Metabolism"	"Biosynthesis"	"Lipid metabolism"	"cytoplasm"	86		
"JCVISYN3A_0814"	"glf"	"UDP-galactopyranose mutase"	395	78	"Essential"	"Metabolism"	"Biosynthesis"	"Lipid metabolism"	"cytoplasm"	78		
"JCVISYN3A_0817"	"whiA/whiA"	"Uncharacterized DNA-binding protein/Cell Division, Chromosome Segregation Regulation"	309	26	"Quasiessential"	"Genetic Information Processing"	"DNA Maintenance"	"Chromosome-related"	"cytoplasm"	26	"AI"	
"JCVISYN3A_0818"	"lgt"	"Diacylglyceryl transferase"	476	55	"Essential"	"Metabolism"	"Biosynthesis"	"Lipid metabolism"	"trans-membrane"	55	"AI"	
"JCVISYN3A_0819"	"trx"	"Thioredoxin-disulfide reductase"	310	100	"Essential"	"Metabolism"	"Central Carbon Metabolism"	"Nucleotide metabolism"	"cytoplasm"	100		
"JCVISYN3A_0820"	"lgt"	"Diacylglyceryl transferase"	526	13	"Essential"	"Metabolism"	"Biosynthesis"	"Lipid metabolism"	"trans-membrane"	13	"AI"	
"JCVISYN3A_0821"	"hpr; ptsH"	"HPr(Ser) kinase/phosphatase"	313	131	"Nonessential"	"Metabolism"	"Other Enzymes"	"Other enzymes"	"cytoplasm"	131	"AI"	
"JCVISYN3A_0822"	"ecfS"	"ecsF / folate "	224	0	"Quasiessential"	"Metabolism"	"Membrane Transport"	"Cofactor"	"trans-membrane"	10		
"JCVISYN3A_0823"	"folC"	"Dihydrofolate synthase"	371	35	"Quasiessential"	"Metabolism"	"Biosynthesis"	"Cofactor biosynthesis"	"cytoplasm"	35		
"JCVISYN3A_0824"	"uvrA"	"Excinuclease ABC subunit A"	946	144	"Quasiessential"	"Genetic Information Processing"	"DNA Maintenance"	"Nucleotide excision repair"	"cytoplasm"	144	"AI"	
"JCVISYN3A_0825"	"uvrB"	"Excinuclease ABC subunit B"	665	49	"Quasiessential"	"Genetic Information Processing"	"DNA Maintenance"	"Nucleotide excision repair"	"cytoplasm"	49	"AI"	
"JCVISYN3A_0826"	"yqeN"	"DNA polymerase III subunit delta"	316	8	"Essential"	"Genetic Information Processing"	"DNA Maintenance"	"DNA replication complex"	"cytoplasm"	10	"AI"	
"JCVISYN3A_0827"		"Uncharacterized protein"	488	212	"Quasiessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	212	"AI"	
"JCVISYN3A_0830"	"-/yqxA-like"	"Uncharacterized protein/Growth factor"	86	8	"Nonessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	10	"AI"	
"JCVISYN3A_0831"	"prs"	"Phosphoribosylpyrophosphate synthetase"	344	315	"Essential"	"Metabolism"	"Central Carbon Metabolism"	"Pentose phosphate metabolism"	"cytoplasm"	315		
"JCVISYN3A_0832"	"pth"	"Aminoacyl-tRNA hydrolase"	186	152	"Essential"	"Genetic Information Processing"	"Translation"	"tRNA loading"	"cytoplasm"	152	"AI"	
"JCVISYN3A_0833"	"rplI"	"50S ribosomal protein L9"	147	122	"Quasiessential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	122		
"JCVISYN3A_0834"	"dnaC"	"Replicative DNA helicase"	438	118	"Essential"	"Genetic Information Processing"	"DNA Maintenance"	"DNA replication"	"cytoplasm"	118	"AI"	
"JCVISYN3A_0835"		"Uncharacterized lipoprotein"	435	297	"Essential"	"Unclear"	"Kegg ortholog defined"	"General function prediction only"	"lipoprotein"	297	"AI"	
"JCVISYN3A_0836"	"ecfS"	"Uncharacterized ECF transporter S component"	308	1	"Essential"	"Metabolism"	"Membrane Transport"	"Cofactor"	"trans-membrane"	10		
"JCVISYN3A_0837"	"cysRS"	"Cysteine--tRNA ligase"	441	111	"Essential"	"Metabolism"	"Translation"	"tRNA loading"	"cytoplasm"	114	"PRIMARY_MISMATCH"	
"JCVISYN3A_0838"	"rlmB"	"23S rRNA (guanosine(2251)-2'-O)-methyltransferase"	244	135	"Nonessential"	"Genetic Information Processing"	"Translation"	"Ribosome biogenesis"	"cytoplasm"	135	"AI"	
"JCVISYN3A_0932"	"rpmG"	"50S ribosomal protein L33"	53	"-"	"Quasiessential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	10		
"JCVISYN3A_0839"	"secE"	"Preprotein translocase subunit"	107	8	"Essential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"Protein export"	"trans-membrane"	10		
"JCVISYN3A_0840"	"nusG"	"Antitermination protein"	213	238	"Quasiessential"	"Genetic Information Processing"	"Transcription"	"Transcription factors"	"cytoplasm"	238	"AI"	
"JCVISYN3A_0851"		"Uncharacterized lipoprotein"	60	"-"	"Nonessential"	"Unclear"	"Kegg ortholog defined"	"General function prediction only"	"lipoprotein"	10	"AI"	
"JCVISYN3A_0852"		"Uncharacterized protein"	76	"-"	"Nonessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	10	"AI"	
"JCVISYN3A_0853"		"Uncharacterized protein"	239	7	"Nonessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	10	"AI"	
"JCVISYN3A_0859"	"topA"	"DNA topoisomerase I"	653	175	"Essential"	"Genetic Information Processing"	"DNA Maintenance"	"Chromosome-related"	"cytoplasm"	175	"AI"	
"JCVISYN3A_0870"		"Uncharacterized C4-dicarboxylate ABC transporter"	588	24	"Quasiessential"	"Metabolism"	"Membrane Transport"	"Other Transport"	"trans-membrane"	24	"AI"	
"JCVISYN3A_0872"	"ychF/ychF"	"Uncharacterized ATPase/Ribosome Binding Factor ATPase"	364	168	"Quasiessential"	"Genetic Information Processing"	"Translation"	"Ribosome biogenesis"	"cytoplasm"	168	"AI"	
"JCVISYN3A_0873"		"Uncharacterized protein"	66	"-"	"Quasiessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	10	"AI"	
