Locus Tag	Gene Name	Gene Product	Protein Length	Exp. Ptn Cnt	Essentiality	Primary Function	Secondary Function	Tertiary Function	Localization	Sim. Initial Ptn Cnt	Review Flag
JCVISYN3A_0817	whiA/whiA	Uncharacterized DNA-binding protein/Cell Division, Chromosome Segregation Regulation	309.0	26	Quasiessential	Genetic Information Processing			cytoplasm	26	
JCVISYN3A_0818	lgt	Diacylglyceryl transferase	476.0	55	Essential	Metabolism			trans-membrane	55	
JCVISYN3A_0819	trx	Thioredoxin-disulfide reductase	310.0	100	Essential	Metabolism	Central Carbon Metabolism	Nucleotide metabolism	cytoplasm	100	
JCVISYN3A_0820	lgt	Diacylglyceryl transferase	526.0	13	Essential	Metabolism			trans-membrane	13	
JCVISYN3A_0821	hpr; ptsH	HPr(Ser) kinase/phosphatase	313.0	131	Nonessential	Metabolism			cytoplasm	131	
JCVISYN3A_0822	ecfS	ecsF / folate 	224.0	0	Quasiessential	Metabolism	Membrane Transport	Cofactor	trans-membrane	10	
JCVISYN3A_0823	folC	Dihydrofolate synthase	371.0	35	Quasiessential	Metabolism	Biosynthesis	Cofactor biosynthesis	cytoplasm	35	
JCVISYN3A_0824	uvrA	Excinuclease ABC subunit A	946.0	144	Quasiessential	Genetic Information Processing			cytoplasm	144	
JCVISYN3A_0825	uvrB	Excinuclease ABC subunit B	665.0	49	Quasiessential	Genetic Information Processing			cytoplasm	49	
JCVISYN3A_0826	yqeN	DNA polymerase III subunit delta	316.0	8	Essential	Genetic Information Processing			cytoplasm	10	
JCVISYN3A_0827		Uncharacterized protein	488.0	212	Quasiessential	Unclear			trans-membrane	212	
JCVISYN3A_0830	-/yqxA-like	Uncharacterized protein/Growth factor	86.0	8	Nonessential	Unclear			trans-membrane	10	
JCVISYN3A_0831	prs	Phosphoribosylpyrophosphate synthetase	344.0	315	Essential	Metabolism	Central Carbon Metabolism	Pentose phosphate metabolism	cytoplasm	315	
JCVISYN3A_0832	pth	Aminoacyl-tRNA hydrolase	186.0	152	Essential	Genetic Information Processing			cytoplasm	152	
JCVISYN3A_0833	rplI	50S ribosomal protein L9	147.0	122	Quasiessential	Genetic Information Processing	Translation	Ribosome	cytoplasm	122	
JCVISYN3A_0834	dnaC	Replicative DNA helicase	438.0	118	Essential	Genetic Information Processing			cytoplasm	118	
JCVISYN3A_0835		Uncharacterized lipoprotein	435.0	297	Essential	Unclear			lipoprotein	297	
JCVISYN3A_0836	ecfS	Uncharacterized ECF transporter S component	308.0	1	Essential	Metabolism	Membrane Transport	Cofactor	trans-membrane	10	
JCVISYN3A_0837	cysRS	Cysteine--tRNA ligase	441.0	111	Essential	Metabolism	Translation	tRNA loading	cytoplasm	114	PRIMARY_MISMATCH
JCVISYN3A_0838	rlmB	23S rRNA (guanosine(2251)-2'-O)-methyltransferase	244.0	135	Nonessential	Genetic Information Processing			cytoplasm	135	
JCVISYN3A_0932	rpmG	50S ribosomal protein L33	53.0	-	Quasiessential	Genetic Information Processing	Translation	Ribosome	cytoplasm	10	
JCVISYN3A_0839	secE	Preprotein translocase subunit	107.0	8	Essential	Genetic Information Processing	Folding, Sorting and Degradation	Protein export	trans-membrane	10	
JCVISYN3A_0840	nusG	Antitermination protein	213.0	238	Quasiessential	Genetic Information Processing			cytoplasm	238	
JCVISYN3A_0851		Uncharacterized lipoprotein	60.0	-	Nonessential	Unclear			lipoprotein	10	
JCVISYN3A_0852		Uncharacterized protein	76.0	-	Nonessential	Unclear			trans-membrane	10	
JCVISYN3A_0853		Uncharacterized protein	239.0	7	Nonessential	Unclear			cytoplasm	10	
JCVISYN3A_0859	topA	DNA topoisomerase I	653.0	175	Essential	Genetic Information Processing			cytoplasm	175	
JCVISYN3A_0870		Uncharacterized C4-dicarboxylate ABC transporter	588.0	24	Quasiessential	Metabolism			trans-membrane	24	
JCVISYN3A_0872	ychF/ychF	Uncharacterized ATPase/Ribosome Binding Factor ATPase	364.0	168	Quasiessential	Genetic Information Processing			cytoplasm	168	
JCVISYN3A_0873		Uncharacterized protein	66.0	-	Quasiessential	Unclear			cytoplasm	10	
JCVISYN3A_0874	rsmG	16S rRNA (guanine(527)-N(7))-methyltransferase	231.0	131	Nonessential	Genetic Information Processing			cytoplasm	131	
JCVISYN3A_0875	pgsA	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	198.0	36	Essential	Metabolism	Biosynthesis	Lipid metabolism	trans-membrane	36	
JCVISYN3A_0876		Uncharacterized amino acid permease	526.0	46	Nonessential	Metabolism	Membrane Transport	Amino acid and peptides	trans-membrane	46	
JCVISYN3A_0877	fmnP; ribU	Riboflavin ECF transporter S component 	226.0	9	Essential	Metabolism	Membrane Transport	Cofactor	trans-membrane	10	
JCVISYN3A_0878	-/gabP	Uncharacterized amino acid permease/amino acid transporter	512.0	7	Quasiessential	Metabolism	Membrane Transport	Amino acid and peptides	trans-membrane	10	
JCVISYN3A_0879	corA	magnesium-importing ATPase 	885.0	80	Essential	Metabolism	Membrane Transport	Inorganic	trans-membrane	80	
JCVISYN3A_0881		Uncharacterized MFS transporter	475.0	33	Essential	Metabolism			trans-membrane	33	
JCVISYN3A_0885	mnmG; gidA	tRNA uridine(34) 5-carboxymethylaminomethyl synthesis enzyme	629.0	141	Quasiessential	Genetic Information Processing			cytoplasm	141	
JCVISYN3A_0886	gltP	Proton-glutamate symporter	525.0	44	Quasiessential	Metabolism	Membrane Transport	Amino acid and peptides	trans-membrane	44	
JCVISYN3A_0887	cdr	Coenzyme A Disulfide Reductase	447.0	127	Quasiessential	Metabolism			cytoplasm	127	
JCVISYN3A_0906		Uncharacterized protein	238.0	75	Essential	Unclear			cytoplasm	75	
JCVISYN3A_0907		Low specificity hydrolase 	264.0	30	Quasiessential	Unclear			cytoplasm	30	
JCVISYN3A_0908	yidC	Membrane protein insertase	396.0	120	Essential	Genetic Information Processing			trans-membrane	120	
JCVISYN3A_0909	rnpA	Ribonuclease P protein component	109.0	6	Essential	Genetic Information Processing			cytoplasm	10	
JCVISYN3A_0910	rpmH	50S ribosomal protein L34	44.0	-	Quasiessential	Genetic Information Processing	Translation	Ribosome	cytoplasm	10	
